wl;up_coef;dw_coef;wl_F;up_coef_F;dw_coef_F;Device ID
696.4550623;0.002512071;0.000813698;541.635055;0.000266394;2.60899E-05;
696.623995;0.002510025;0.000813084;542.3476056;0.000266131;2.61436E-05;
696.7928928;0.002508004;0.000812477;543.0599711;0.000265887;2.61992E-05;
696.9617557;0.002506017;0.000811888;543.7721513;0.000265664;2.62566E-05;
697.1305839;0.002504076;0.000811328;544.4841462;0.000265464;2.63155E-05;
697.2993773;0.002502192;0.000810797;545.1959559;0.000265288;2.6376E-05;
697.4681359;0.002500382;0.000810294;545.9075804;0.00026514;2.6438E-05;
697.6368596;0.002498658;0.000809815;546.6190195;0.000265021;2.65014E-05;
697.8055486;0.002497035;0.000809358;547.3302733;0.000264932;2.6566E-05;
697.9742028;0.002495526;0.000808921;548.0413418;0.000264871;2.6632E-05;
698.1428222;0.002494148;0.000808501;548.752225;0.000264835;2.66991E-05;
698.3114068;0.002492904;0.000808097;549.4629228;0.000264822;2.67675E-05;
698.4799566;0.002491771;0.000807707;550.1734352;0.000264827;2.68371E-05;
698.6484717;0.002490715;0.000807331;550.8837622;0.000264849;2.6908E-05;
698.8169519;0.002489702;0.00080697;551.5939038;0.000264885;2.698E-05;
698.9853974;0.0024887;0.000806622;552.30386;0.000264935;2.7053E-05;
699.1538081;0.002487676;0.000806287;553.0136307;0.000264998;2.71269E-05;
699.3221841;0.002486595;0.000805965;553.7232159;0.000265076;2.72017E-05;
699.4905252;0.002485432;0.000805654;554.4326157;0.000265168;2.7277E-05;
699.6588317;0.00248418;0.000805348;555.1418299;0.000265274;2.73529E-05;
699.8271033;0.00248284;0.00080504;555.8508586;0.000265395;2.74292E-05;
699.9953402;0.00248141;0.000804722;556.5597018;0.000265531;2.75057E-05;
700.1635424;0.002479892;0.000804387;557.2683594;0.000265683;2.75827E-05;
700.3317097;0.002478284;0.000804026;557.9768315;0.000265852;2.76601E-05;
700.4998424;0.002476588;0.000803634;558.685118;0.000266038;2.77381E-05;
700.6679403;0.002474806;0.000803205;559.3932188;0.000266243;2.78169E-05;
700.8360035;0.002472963;0.000802742;560.101134;0.000266469;2.78965E-05;
